train running loss, train running l2 error, val loss, val l2 error
1.9496, 0.6325, 1.8130, 0.5648
1.5901, 0.4806, 0.9232, 0.2197
1.1555, 0.3479, 0.7906, 0.2619
0.9074, 0.3530, 0.7301, 0.3244
0.7258, 0.3454, 0.1645, 0.2360
0.5961, 0.3236, 0.2437, 0.2393
0.4607, 0.3094, 0.2042, 0.2474
0.3547, 0.3015, -0.0573, 0.2426
0.2112, 0.2925, -0.1851, 0.2495
0.0667, 0.2825, -0.3052, 0.2313
-0.0748, 0.2638, -0.3840, 0.2161
-0.1925, 0.2561, -0.6974, 0.1953
-0.1843, 0.2543, -0.2965, 0.2420
-0.3218, 0.2523, -0.9183, 0.1738
-0.4153, 0.2367, -0.6218, 0.2227
-0.4624, 0.2449, -0.8190, 0.1843
-0.5126, 0.2265, -0.8330, 0.2065
-0.6328, 0.2284, -1.0047, 0.1841
-0.7214, 0.2097, -0.9957, 0.1852
-0.7390, 0.2140, -1.1104, 0.1652
-0.7851, 0.2077, -1.0572, 0.1931
-0.7809, 0.2072, -1.2198, 0.1548
-0.8317, 0.2026, -1.0912, 0.1865
-0.8435, 0.2032, -1.2455, 0.1579
-0.9559, 0.1945, -1.3502, 0.1575
-1.0069, 0.1863, -1.2975, 0.1679
-1.0003, 0.1909, -1.4980, 0.1369
-1.0244, 0.1875, -1.4158, 0.1599
-1.0906, 0.1804, -1.2230, 0.1800
-1.1039, 0.1913, -1.5912, 0.1399
-1.1829, 0.1747, -1.3852, 0.1616
-1.2257, 0.1782, -1.6848, 0.1305
-1.1598, 0.1885, -1.4666, 0.1629
-1.2832, 0.1669, -1.7030, 0.1376
-1.3251, 0.1755, -1.7476, 0.1373
-1.2845, 0.1689, -1.6228, 0.1431
-1.3329, 0.1652, -1.7692, 0.1345
-1.3591, 0.1656, -1.6693, 0.1536
-1.4050, 0.1758, -1.9464, 0.1251
-1.4155, 0.1588, -1.6077, 0.1629
-1.4012, 0.1787, -1.8167, 0.1335
-1.4815, 0.1544, -1.8936, 0.1342
-1.5598, 0.1632, -1.9870, 0.1191
-1.4923, 0.1550, -1.6110, 0.1649
-1.5462, 0.1681, -2.0972, 0.1118
-1.5007, 0.1505, -1.9171, 0.1393
-1.5360, 0.1696, -1.7732, 0.1423
-1.5834, 0.1524, -2.1448, 0.1116
-1.6022, 0.1536, -2.0099, 0.1353
-1.6693, 0.1544, -1.9255, 0.1291
-1.6244, 0.1497, -2.0918, 0.1184
-1.6803, 0.1510, -2.1937, 0.1109
-1.7453, 0.1402, -2.0106, 0.1218
-1.7491, 0.1504, -2.1868, 0.1161
-1.7883, 0.1439, -2.1489, 0.1289
-1.7548, 0.1524, -2.1804, 0.1117
-1.8023, 0.1362, -2.2213, 0.1101
-1.8888, 0.1420, -2.2395, 0.1161
-1.8935, 0.1387, -2.4184, 0.1009
-1.8696, 0.1343, -2.2547, 0.1148
-1.9170, 0.1400, -2.3013, 0.1119
-1.9055, 0.1369, -2.4099, 0.1012
-1.8956, 0.1394, -2.2934, 0.1086
-1.9673, 0.1287, -2.4900, 0.0950
-1.9241, 0.1407, -2.1340, 0.1277
-1.9699, 0.1362, -2.6199, 0.0785
-1.9978, 0.1295, -2.3420, 0.1172
-2.0095, 0.1344, -2.4875, 0.0953
-2.0430, 0.1263, -2.4258, 0.1028
-2.0427, 0.1285, -2.5234, 0.0895
-2.0603, 0.1290, -2.4219, 0.1082
-2.0771, 0.1321, -2.6325, 0.0865
-2.0382, 0.1275, -2.3613, 0.1170
-2.0556, 0.1300, -2.5707, 0.0986
-2.0885, 0.1309, -2.3874, 0.1188
-2.0042, 0.1325, -2.4550, 0.0946
-2.1168, 0.1226, -2.5671, 0.0812
-2.1444, 0.1189, -2.5609, 0.0945
-2.1873, 0.1250, -2.7255, 0.0873
-2.2358, 0.1172, -2.7475, 0.0834
-2.2122, 0.1214, -2.5662, 0.0964
-2.1657, 0.1199, -2.6508, 0.0886
-2.2293, 0.1189, -2.5206, 0.0939
-2.2230, 0.1198, -2.6834, 0.0876
-2.2004, 0.1195, -2.5740, 0.1027
-2.2589, 0.1203, -2.7308, 0.0829
-2.2944, 0.1156, -2.7531, 0.0862
-2.2824, 0.1140, -2.6932, 0.0845
-2.2192, 0.1203, -2.6209, 0.0905
-2.2406, 0.1171, -2.7302, 0.0888
-2.2863, 0.1154, -2.7589, 0.0811
-2.2633, 0.1188, -2.6680, 0.0979
-2.2771, 0.1187, -2.7408, 0.0870
-2.3178, 0.1163, -2.7677, 0.0866
-2.3558, 0.1150, -2.8644, 0.0840
-2.4027, 0.1101, -2.7936, 0.0891
-2.3553, 0.1124, -2.8035, 0.0888
-2.3382, 0.1146, -2.9317, 0.0762
-2.4378, 0.1072, -2.8542, 0.0785
-2.4157, 0.1101, -2.9367, 0.0796
