train running loss, train running l2 error, val loss, val l2 error
-4.0527, 0.0321, -6.1221, 0.0157
-6.2804, 0.0116, -7.5520, 0.0058
-7.2001, 0.0089, -8.0358, 0.0060
-7.5928, 0.0085, -8.3934, 0.0058
-7.8200, 0.0083, -8.4994, 0.0052
-8.0266, 0.0080, -8.6791, 0.0051
-8.2144, 0.0078, -9.0521, 0.0046
-8.3238, 0.0077, -9.0742, 0.0044
-8.3587, 0.0076, -8.9789, 0.0037
-8.4632, 0.0075, -9.2316, 0.0030
-8.4791, 0.0075, -9.1117, 0.0043
-8.5402, 0.0075, -9.1734, 0.0037
-8.5836, 0.0074, -9.3246, 0.0031
-8.5769, 0.0074, -9.0723, 0.0034
-8.5621, 0.0074, -9.2639, 0.0030
-8.6104, 0.0074, -9.0794, 0.0031
-8.6370, 0.0074, -9.0585, 0.0038
-8.6183, 0.0074, -9.4692, 0.0030
-8.6354, 0.0074, -9.0210, 0.0035
-8.6907, 0.0073, -9.4002, 0.0031
-8.7074, 0.0073, -9.4663, 0.0039
-8.7266, 0.0073, -9.5084, 0.0030
-8.7210, 0.0073, -8.9279, 0.0030
-8.7252, 0.0073, -9.6326, 0.0026
-8.7502, 0.0072, -9.1716, 0.0028
-8.7541, 0.0073, -9.5758, 0.0029
-8.7557, 0.0072, -9.4160, 0.0035
-8.7861, 0.0072, -9.3037, 0.0032
-8.7767, 0.0072, -9.2248, 0.0031
-8.7739, 0.0072, -9.5335, 0.0032
