train running loss, train running l2 error, val loss, val l2 error
-3.1679, 0.0621, -4.8600, 0.0293
-4.7960, 0.0332, -5.5484, 0.0282
-5.2165, 0.0305, -5.8324, 0.0234
-5.5172, 0.0282, -6.2194, 0.0212
-5.7002, 0.0269, -6.3715, 0.0180
-5.8648, 0.0261, -6.4678, 0.0144
-5.9816, 0.0251, -6.7714, 0.0140
-6.0840, 0.0245, -6.7909, 0.0146
-6.1267, 0.0243, -6.8490, 0.0138
-6.1607, 0.0240, -6.6367, 0.0137
-6.2437, 0.0236, -6.9523, 0.0122
-6.2521, 0.0235, -6.7307, 0.0151
-6.3070, 0.0234, -7.0629, 0.0113
-6.3272, 0.0232, -7.0941, 0.0112
-6.3624, 0.0228, -7.1477, 0.0110
-6.3646, 0.0229, -7.0260, 0.0125
-6.3668, 0.0228, -6.5942, 0.0110
-6.3991, 0.0226, -7.0417, 0.0118
-6.4513, 0.0224, -6.9213, 0.0111
-6.4421, 0.0224, -7.1077, 0.0099
-6.4364, 0.0223, -7.0599, 0.0104
-6.4730, 0.0223, -7.1818, 0.0101
-6.4851, 0.0221, -7.3721, 0.0104
-6.4816, 0.0221, -7.3358, 0.0104
-6.5193, 0.0219, -7.1790, 0.0100
-6.5154, 0.0220, -7.3638, 0.0097
-6.5110, 0.0220, -7.3606, 0.0105
-6.5432, 0.0219, -7.3072, 0.0105
-6.5216, 0.0218, -7.2388, 0.0096
-6.5292, 0.0219, -7.1626, 0.0094
