train running loss, train running l2 error, val loss, val l2 error
-7.0967, 0.0179, -7.9072, 0.0096
-7.1350, 0.0179, -7.9574, 0.0095
-7.1311, 0.0178, -7.4237, 0.0105
-7.1378, 0.0178, -7.9354, 0.0086
-7.1802, 0.0177, -7.8048, 0.0096
-7.1574, 0.0177, -7.8685, 0.0099
-7.1887, 0.0175, -8.0728, 0.0088
-7.1457, 0.0176, -7.9655, 0.0091
-7.1453, 0.0176, -7.6608, 0.0090
-7.1612, 0.0176, -7.9952, 0.0094
-7.2119, 0.0173, -7.8052, 0.0100
-7.2078, 0.0174, -7.5906, 0.0100
-7.2125, 0.0174, -7.4437, 0.0088
-7.2514, 0.0172, -7.8147, 0.0094
-7.2225, 0.0173, -7.6631, 0.0098
-7.2171, 0.0173, -7.5946, 0.0086
-7.2299, 0.0172, -7.6743, 0.0093
-7.2397, 0.0171, -7.4288, 0.0090
-7.2294, 0.0173, -8.1335, 0.0087
-7.2798, 0.0171, -8.0022, 0.0094
-7.2625, 0.0170, -7.6558, 0.0089
-7.2688, 0.0170, -7.7529, 0.0094
-7.2679, 0.0170, -8.0268, 0.0084
-7.2520, 0.0170, -7.9389, 0.0107
-7.2960, 0.0167, -7.4175, 0.0086
-7.2837, 0.0168, -7.9584, 0.0094
-7.2760, 0.0168, -7.9388, 0.0099
-7.2710, 0.0169, -8.0290, 0.0085
-7.3096, 0.0168, -8.0947, 0.0089
-7.2793, 0.0169, -8.0492, 0.0096
