train running loss, train running l2 error, val loss, val l2 error
0.5115, 0.2347, -0.5078, 0.0910
-0.8247, 0.1449, -1.7858, 0.0846
-1.7837, 0.0855, -2.7908, 0.0684
-2.3161, 0.0683, -3.2823, 0.0564
-2.5674, 0.0633, -3.2810, 0.0537
-2.8577, 0.0587, -3.3500, 0.0525
-2.9367, 0.0568, -3.5718, 0.0511
-3.0956, 0.0559, -3.4946, 0.0495
-3.2649, 0.0544, -3.4589, 0.0565
-3.3526, 0.0546, -3.6987, 0.0524
-3.4108, 0.0532, -3.8253, 0.0509
-3.3495, 0.0527, -3.8620, 0.0457
-3.5376, 0.0512, -4.0050, 0.0444
-3.6319, 0.0502, -3.8631, 0.0501
-3.6455, 0.0496, -4.0286, 0.0435
-3.7464, 0.0480, -4.2527, 0.0425
-3.8044, 0.0469, -4.3214, 0.0405
-3.8626, 0.0456, -4.2580, 0.0395
-3.9042, 0.0454, -4.2853, 0.0381
-3.9425, 0.0448, -4.3095, 0.0396
-4.0047, 0.0440, -4.4789, 0.0371
-4.0310, 0.0433, -4.4235, 0.0384
-4.0811, 0.0426, -4.5229, 0.0379
-4.1233, 0.0416, -4.6191, 0.0337
-4.1769, 0.0407, -4.5897, 0.0345
-4.2334, 0.0397, -4.7356, 0.0321
-4.2721, 0.0392, -4.7451, 0.0316
-4.3331, 0.0381, -4.7217, 0.0331
-4.2873, 0.0383, -4.8219, 0.0319
-4.3655, 0.0381, -4.9032, 0.0265
-4.3736, 0.0373, -4.9639, 0.0304
-4.4435, 0.0371, -4.9951, 0.0283
-4.3700, 0.0369, -4.9168, 0.0305
-4.4639, 0.0363, -4.9501, 0.0283
-4.5573, 0.0357, -5.1091, 0.0268
-4.4857, 0.0365, -4.9463, 0.0273
-4.5453, 0.0356, -5.0640, 0.0280
-4.5755, 0.0353, -5.0654, 0.0291
-4.5750, 0.0354, -5.0043, 0.0269
-4.5557, 0.0352, -4.9724, 0.0277
-4.6423, 0.0354, -5.0534, 0.0288
-4.6086, 0.0354, -5.1268, 0.0261
-4.6977, 0.0347, -5.1526, 0.0278
-4.7635, 0.0344, -5.3220, 0.0261
-4.7942, 0.0343, -5.1359, 0.0285
-4.7553, 0.0342, -5.1626, 0.0276
-4.7445, 0.0341, -5.2278, 0.0254
-4.7790, 0.0340, -5.3292, 0.0252
-4.8126, 0.0337, -5.3289, 0.0268
-4.7728, 0.0336, -5.3223, 0.0257
-4.8738, 0.0333, -5.4013, 0.0250
-4.9210, 0.0335, -5.3941, 0.0261
-4.8769, 0.0338, -5.3629, 0.0270
-4.8690, 0.0342, -5.4319, 0.0274
-4.9161, 0.0337, -5.4585, 0.0241
-4.9287, 0.0332, -5.4052, 0.0274
-4.9596, 0.0332, -5.5807, 0.0241
-4.9830, 0.0329, -5.4439, 0.0252
-5.0149, 0.0327, -5.4274, 0.0258
-5.0412, 0.0326, -5.5716, 0.0244
-5.0665, 0.0326, -5.4936, 0.0279
-5.0272, 0.0328, -5.5178, 0.0259
-5.0787, 0.0327, -5.5728, 0.0250
-5.0313, 0.0324, -5.6401, 0.0239
-5.0680, 0.0324, -5.5471, 0.0255
-5.1209, 0.0324, -5.6733, 0.0239
-5.1147, 0.0321, -5.6715, 0.0235
-5.0890, 0.0323, -5.6063, 0.0255
-5.1335, 0.0322, -5.6938, 0.0251
-5.0974, 0.0320, -5.5920, 0.0232
-5.1439, 0.0321, -5.4746, 0.0246
-4.8703, 0.0336, -5.6279, 0.0244
-5.1495, 0.0321, -5.6400, 0.0238
-5.1486, 0.0317, -5.6241, 0.0272
-5.1866, 0.0320, -5.6850, 0.0235
-5.2066, 0.0318, -5.7216, 0.0228
-5.2023, 0.0316, -5.6676, 0.0236
-5.2014, 0.0314, -5.6694, 0.0239
-5.2422, 0.0313, -5.5834, 0.0228
-5.2456, 0.0312, -5.7028, 0.0252
-5.2827, 0.0314, -5.7936, 0.0252
-5.2985, 0.0317, -5.7502, 0.0231
-5.2837, 0.0314, -5.6640, 0.0257
-5.3014, 0.0314, -5.7543, 0.0224
-5.2856, 0.0314, -5.7653, 0.0238
-5.2787, 0.0317, -5.7807, 0.0225
-5.3228, 0.0314, -5.7034, 0.0249
-5.3259, 0.0313, -5.7991, 0.0232
-5.3259, 0.0317, -5.8297, 0.0242
-5.3464, 0.0312, -5.9414, 0.0230
-5.3606, 0.0314, -5.8345, 0.0227
-5.3562, 0.0311, -5.8672, 0.0218
-5.3784, 0.0312, -5.9048, 0.0226
-5.3836, 0.0313, -5.9075, 0.0224
-5.3589, 0.0314, -5.8874, 0.0214
-5.3954, 0.0312, -5.9895, 0.0203
-5.3739, 0.0314, -5.8590, 0.0221
-5.3666, 0.0313, -5.9505, 0.0222
-5.3638, 0.0314, -5.9852, 0.0209
-5.4053, 0.0310, -5.9355, 0.0233
-5.3989, 0.0309, -5.9248, 0.0219
