train running loss, train running l2 error, val loss, val l2 error
-3.0864, 0.0625, -4.6741, 0.0341
-4.7839, 0.0317, -5.4007, 0.0214
-5.2476, 0.0279, -6.0859, 0.0215
-5.5366, 0.0266, -6.1612, 0.0206
-5.7466, 0.0256, -6.2528, 0.0184
-5.8591, 0.0251, -6.6272, 0.0140
-6.0120, 0.0244, -6.5293, 0.0152
-6.0720, 0.0240, -6.6247, 0.0137
-6.1377, 0.0237, -6.8337, 0.0148
-6.1976, 0.0235, -6.8436, 0.0146
-6.2015, 0.0234, -6.9341, 0.0132
-6.2312, 0.0232, -7.0498, 0.0115
-6.3050, 0.0230, -6.8369, 0.0122
-6.3056, 0.0229, -7.0439, 0.0112
-6.3409, 0.0228, -6.9080, 0.0131
-6.3410, 0.0228, -7.1353, 0.0107
-6.3591, 0.0226, -7.0697, 0.0117
-6.3613, 0.0227, -7.1230, 0.0112
-6.3979, 0.0224, -7.0653, 0.0112
-6.4022, 0.0224, -6.9915, 0.0108
-6.4269, 0.0222, -7.1322, 0.0120
-6.3999, 0.0222, -7.0324, 0.0114
-6.5030, 0.0219, -7.1630, 0.0098
-6.4480, 0.0219, -6.8049, 0.0103
-6.4774, 0.0217, -6.9740, 0.0104
-6.4962, 0.0216, -7.2479, 0.0096
-6.5024, 0.0216, -7.1950, 0.0109
-6.5328, 0.0214, -7.2305, 0.0110
-6.5210, 0.0215, -6.9841, 0.0113
-6.5340, 0.0215, -7.3575, 0.0098
