train running loss, train running l2 error, val loss, val l2 error
-0.3173, 0.2083, -0.0641, 0.1878
-1.4463, 0.1733, -0.7981, 0.1792
-1.5206, 0.1725, -0.8679, 0.1660
-1.6073, 0.1689, -0.5161, 0.2094
-1.5590, 0.1684, 0.4879, 0.2542
-1.9389, 0.1487, 3.9919, 0.3183
-2.0869, 0.1470, 2.8780, 0.2557
-2.4386, 0.1424, 8.7395, 0.2822
-2.1638, 0.1374, 6.8960, 0.2922
-2.7193, 0.1079, 10.7796, 0.2630
-3.1848, 0.0713, 7.6205, 0.2131
-3.4619, 0.0508, 7.5887, 0.2073
-4.3280, 0.0358, 7.6831, 0.2069
-4.1277, 0.0383, 5.7609, 0.1926
-4.5699, 0.0283, 14.1439, 0.1991
-5.1247, 0.0234, 14.0816, 0.1993
-5.3619, 0.0209, 16.1288, 0.1947
-4.6407, 0.0349, -0.4811, 0.1623
-4.4161, 0.0365, 15.1758, 0.2058
-3.2445, 0.0420, 1.5347, 0.2353
