timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 position8 velocity8 radius8 position9 velocity9 radius9 position10 velocity10 radius10 
0.10000000149011612 (0.9061906337738037,1.9755109548568726) (-0.5303300619125366,0.5303300619125366) 0.2199999988079071 (0.9061906337738037,1.9755109548568726) 1.5 2.356194490192345 (0.9376690983772278,2.887789011001587) (0.07382449507713318,-0.0003724409034475684) 0.2199999988079071 (0.6535277366638184,1.4239721298217773) (0.05169074609875679,0.14425727725028992) 0.2199999988079071 (2.138324022293091,2.190796375274658) (-0.009061028249561787,0.0012760595418512821) 0.2199999988079071 (0.42387625575065613,0.6841608881950378) (0.002015143632888794,0.0006325916037894785) 0.2199999988079071 (0.44605761766433716,2.853712797164917) (0.00031903639319352806,-0.00024363791453652084) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.20000000298023224 (0.9379559755325317,2.004622459411621) (0.3176535665988922,0.2911147177219391) 0.2199999988079071 (0.9379559755325317,2.004622459411621) 1.5 0.7418314128887862 (0.9454120397567749,2.8877499103546143) (0.07742922008037567,-0.0003906293713953346) 0.2199999988079071 (0.6592844724655151,1.4400378465652466) (0.05756741762161255,0.16065774857997894) 0.2199999988079071 (2.137413740158081,2.190924644470215) (-0.009103477001190186,0.0012820377014577389) 0.2199999988079071 (0.42407795786857605,0.6842241883277893) (0.0020169916097074747,0.0006331717013381422) 0.2199999988079071 (0.4460895359516144,2.8536884784698486) (0.0003190825809724629,-0.00024367320293094963) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.30000001192092896 (0.9167750477790833,1.9354069232940674) (-0.21180929243564606,-0.6921552419662476) 0.2199999988079071 (0.9167750477790833,1.9354069232940674) 1.5 -1.8677615089883468 (0.9535541534423828,2.887708902359009) (0.08142143487930298,-0.0004107678250875324) 0.2199999988079071 (0.6060103178024292,1.4629472494125366) (-0.5327417254447937,0.22909456491470337) 0.2199999988079071 (2.1364991664886475,2.1910533905029297) (-0.009146349504590034,0.0012880751164630055) 0.2199999988079071 (0.4242798388004303,0.6842875480651855) (0.0020188428461551666,0.0006337529048323631) 0.2199999988079071 (0.4461214542388916,2.8536641597747803) (0.0003191287978552282,-0.00024370849132537842) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.4000000059604645 (0.8900553584098816,1.8718786239624023) (-0.26719677448272705,-0.6352829337120056) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9689299229601214 (0.9621409177780151,2.8876655101776123) (0.08586783707141876,-0.0004332040552981198) 0.2199999988079071 (0.5344564914703369,1.455771803855896) (-0.7155385613441467,-0.07175493240356445) 0.2199999988079071 (2.13558030128479,2.191182851791382) (-0.009189650416374207,0.0012941733002662659) 0.2199999988079071 (0.42448189854621887,0.6843509674072266) (0.002020697807893157,0.0006343352142721415) 0.2199999988079071 (0.4461533725261688,2.853639841079712) (0.000319174985634163,-0.00024374379427172244) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.5 (0.8900553584098816,1.8718786239624023) (0.0,-4.2235141707765156e-13) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.5707963267948966 (0.9712260961532593,2.887619733810425) (0.09085150063037872,-0.0004583419067785144) 0.2199999988079071 (0.4887973666191101,1.457541823387146) (-0.45659130811691284,0.01769975759088993) 0.2199999988079071 (2.1346569061279297,2.191312789916992) (-0.009233383461833,0.0013003320200368762) 0.2199999988079071 (0.42468416690826416,0.6844144463539124) (0.002022556262090802,0.0006349186296574771) 0.2199999988079071 (0.44618529081344604,2.8536155223846436) (0.0003192212025169283,-0.00024377909721806645) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.6000000238418579 (0.8900553584098816,1.8718786239624023) (0.0,-4.2235141707765156e-13) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.5707963267948966 (0.9808738231658936,2.887571096420288) (0.09647708386182785,-0.00048672687262296677) 0.2199999988079071 (0.4615020155906677,1.4661914110183716) (-0.27295342087745667,0.08649551868438721) 0.2199999988079071 (2.1337292194366455,2.19144344329834) (-0.009277564473450184,0.0013065545354038477) 0.2199999988079071 (0.4248866140842438,0.6844779849052429) (0.0020244186744093895,0.000635503267403692) 0.2199999988079071 (0.44621720910072327,2.853591203689575) (0.0003192674193996936,-0.00024381440016441047) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.7000000476837158 (0.8900553584098816,1.8718786239624023) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9634954131146867 (0.9911616444587708,2.887519121170044) (0.10287832468748093,-0.0005190238007344306) 0.2199999988079071 (0.41700565814971924,1.4761512279510498) (-0.4449637234210968,0.09959830343723297) 0.2199999988079071 (2.1327970027923584,2.191574811935425) (-0.009322188794612885,0.0013128388673067093) 0.2199999988079071 (0.4250892400741577,0.6845415830612183) (0.0020262845791876316,0.0006360890110954642) 0.2199999988079071 (0.4462491273880005,2.853566884994507) (0.00031931366538628936,-0.00024384971766266972) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.8000000715255737 (0.8900553584098816,1.8718786239624023) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9634954131146867 (1.002184510231018,2.8874635696411133) (0.11022895574569702,-0.0005561019061133265) 0.2199999988079071 (0.3723422884941101,1.4904484748840332) (-0.44663378596305847,0.1429724395275116) 0.2199999988079071 (2.1318602561950684,2.191706657409668) (-0.009367271326482296,0.0013191874604672194) 0.2199999988079071 (0.425292044878006,0.6846052408218384) (0.0020281539764255285,0.0006366758607327938) 0.2199999988079071 (0.4462810754776001,2.8535425662994385) (0.00031935988226905465,-0.00024388503516092896) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
0.9000000953674316 (0.8900553584098816,1.8718786239624023) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9634954131146867 (1.014060378074646,2.887403726577759) (0.11875886470079422,-0.0005991403013467789) 0.2199999988079071 (0.3359185755252838,1.5075699090957642) (-0.3642371594905853,0.17121471464633942) 0.2199999988079071 (2.1309189796447754,2.1918392181396484) (-0.009412816725671291,0.0013256018282845616) 0.2199999988079071 (0.42549505829811096,0.6846689581871033) (0.0020300268661230803,0.0006372638745233417) 0.2199999988079071 (0.4463130235671997,2.85351824760437) (0.00031940615735948086,-0.00024392038176301867) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.0000001192092896 (0.8900553584098816,1.8718786239624023) (-3.310118845689658e-10,-7.991333705881232e-10) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.9634954131146867 (1.0269381999969482,2.887338638305664) (0.12877868115901947,-0.0006496974383480847) 0.2199999988079071 (0.31010040640830994,1.5249584913253784) (-0.2581816613674164,0.17388635873794556) 0.2199999988079071 (2.1299731731414795,2.191972494125366) (-0.009458830580115318,0.0013320819707587361) 0.2199999988079071 (0.42569825053215027,0.6847327351570129) (0.002031903713941574,0.0006378530524671078) 0.2199999988079071 (0.4463449716567993,2.8534939289093018) (0.00031945243244990706,-0.00024395572836510837) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
1.1000001430511475 (0.8900553584098816,1.8718786239624023) (0.0,-4.2235141707765156e-13) 0.2199999988079071 (0.8900553584098816,1.8718786239624023) 1.5 -1.5707963267948966 (1.0410100221633911,2.887267589569092) (0.140718474984169,-0.0007099215872585773) 0.2199999988079071 (0.31024739146232605,1.540795922279358) (0.0014697909355163574,0.15837380290031433) 0.2199999988079071 (2.1290225982666016,2.192106246948242) (-0.00950531754642725,0.0013386283535510302) 0.2199999988079071 (0.4259016215801239,0.6847965717315674) (0.0020337842870503664,0.0006384433945640922) 0.2199999988079071 (0.4463769197463989,2.8534696102142334) (0.00031949873664416373,-0.0002439910895191133) 0.2199999988079071 (1.8390647724052667,2.9936377125599036) (0,0) 0.3 (0.6790491415578761,0.49634596381005036) (0,0) 0.3 (1.3955621225577013,0.35706851902979964) (0,0) 0.3 (0.581422735969936,1.0643029898771672) (0,0) 0.3 
