timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 
0.10000000149011612 (1.1518877744674683,2.6868114471435547) (-6.116301909386834e-10,-6.116301909386834e-10) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 -2.356194490192345 (2.6715290546417236,0.6723673939704895) (-0.0006818411056883633,-0.0001685123424977064) 0.2199999988079071 (0.39741408824920654,1.6205953359603882) (0.027373600751161575,0.049686383455991745) 0.2199999988079071 (1.5715888738632202,0.7134009599685669) (-0.0003687733842525631,0.0007602021796628833) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.20000000298023224 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6714608669281006,0.6723505258560181) (-0.0006820250418968499,-0.0001685577881289646) 0.2199999988079071 (0.40025052428245544,1.6257437467575073) (0.02836429513990879,0.051484614610672) 0.2199999988079071 (1.571552038192749,0.7134770154953003) (-0.0003688954748213291,0.0007604538113810122) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.30000001192092896 (1.1518877744674683,2.6868114471435547) (-7.991333705881232e-10,3.310118845689658e-10) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 2.7488935672700032 (2.6713926792144775,0.6723336577415466) (-0.0006822090363129973,-0.00016860326286405325) 0.2199999988079071 (0.4031938314437866,1.6310862302780151) (0.029433051124215126,0.05342453718185425) 0.2199999988079071 (1.5715150833129883,0.7135530710220337) (-0.0003690177109092474,0.0007607057341374457) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.4000000059604645 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.6713244915008545,0.6723167896270752) (-0.0006823930307291448,-0.0001686487375991419) 0.2199999988079071 (0.40625280141830444,1.6366386413574219) (0.030589625239372253,0.05552385747432709) 0.2199999988079071 (1.5714781284332275,0.7136291861534119) (-0.0003691400052048266,0.0007609579479321837) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.5 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6712563037872314,0.6722999215126038) (-0.0006825771415606141,-0.00016869422688614577) 0.2199999988079071 (0.409437358379364,1.6424189805984497) (0.03184542432427406,0.05780328810214996) 0.2199999988079071 (1.5714411735534668,0.71370530128479) (-0.00036926244501955807,0.0007612103363499045) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.6000000238418579 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.6711881160736084,0.6722830533981323) (-0.0006827613105997443,-0.00016873973072506487) 0.2199999988079071 (0.4127587676048279,1.6484477519989014) (0.03321395814418793,0.06028733775019646) 0.2199999988079071 (1.571404218673706,0.713781476020813) (-0.00036938494304195046,0.0007614628993906081) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.7000000476837158 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.6711199283599854,0.6722661852836609) (-0.0006829454796388745,-0.00016878526366781443) 0.2199999988079071 (0.41622990369796753,1.6547483205795288) (0.034711308777332306,0.06300520896911621) 0.2199999988079071 (1.5713672637939453,0.7138576507568359) (-0.0003695075574796647,0.0007617156370542943) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.8000000715255737 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.671051502227783,0.6722493171691895) (-0.0006831297650933266,-0.000168830796610564) 0.2199999988079071 (0.41986557841300964,1.661347508430481) (0.036356788128614426,0.06599195301532745) 0.2199999988079071 (1.5713303089141846,0.7139338254928589) (-0.0003696302301250398,0.0007619684911333025) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
0.9000000953674316 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.670983076095581,0.672232449054718) (-0.0006833146908320487,-0.0001688765041762963) 0.2199999988079071 (0.42368295788764954,1.6682765483856201) (0.03817376121878624,0.06928997486829758) 0.2199999988079071 (1.5712933540344238,0.7140100598335266) (-0.0003697529318742454,0.0007622214616276324) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.0000001192092896 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.670914649963379,0.6722155809402466) (-0.0006834996165707707,-0.00016892222629394382) 0.2199999988079071 (0.42770203948020935,1.6755716800689697) (0.04019085317850113,0.07295123487710953) 0.2199999988079071 (1.571256399154663,0.7140862941741943) (-0.0003698757791426033,0.000762474664952606) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.1000001430511475 (1.1518877744674683,2.6868114471435547) (0.0,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 0.0 (2.6708462238311768,0.6721987128257751) (-0.0006836846587248147,-0.0001689679775154218) 0.2199999988079071 (0.43194636702537537,1.6832756996154785) (0.04244339093565941,0.07703986018896103) 0.2199999988079071 (1.5712194442749023,0.7141625881195068) (-0.0003699986555147916,0.0007627279846929014) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
1.2000001668930054 (1.1518877744674683,2.6868114471435547) (-4.2235141707765156e-13,0.0) 0.2199999988079071 (1.1518877744674683,2.6868114471435547) 1.5 3.141592653589793 (2.6707777976989746,0.6721817851066589) (-0.0006838697590865195,-0.0001690137287368998) 0.2199999988079071 (0.43644392490386963,1.6914392709732056) (0.04497561231255531,0.08163614571094513) 0.2199999988079071 (1.5711824893951416,0.7142388820648193) (-0.0003701216774061322,0.0007629815372638404) 0.2199999988079071 (0.4271529244312844,1.5708718251549851) (0,0) 0.3 (1.1734476195337393,1.1050089244878063) (0,0) 0.3 
