train running loss, train running l2 error, val loss, val l2 error
-0.6608, 0.2026, -0.5973, 0.1968
-1.4097, 0.1783, -0.3606, 0.1866
-1.5393, 0.1725, -0.3035, 0.1800
-1.5904, 0.1729, -0.2322, 0.2956
-1.6513, 0.1654, -0.5837, 0.2113
-1.7721, 0.1526, 1.8557, 0.3293
-2.0294, 0.1461, 7.8200, 0.2868
-1.9352, 0.1457, -0.7075, 0.1901
-2.2049, 0.1371, 6.1347, 0.2608
-2.7012, 0.1131, 8.8792, 0.2488
-2.8485, 0.0786, 10.4036, 0.1836
-2.6090, 0.0708, 2.5271, 0.1844
-3.2156, 0.0506, -0.1817, 0.1930
-3.4283, 0.0410, 14.0292, 0.1850
-2.6190, 0.0504, -0.9052, 0.1943
-3.4848, 0.0390, 4.8663, 0.1587
-4.6793, 0.0256, 4.5585, 0.1673
-4.6924, 0.0258, 8.0132, 0.1687
-5.0442, 0.0234, 13.1604, 0.1789
-5.6334, 0.0178, 14.7736, 0.1781
