train running loss, train running l2 error, val loss, val l2 error
1.8812, 78.3476, -63.3949, 60.5510
-57.3847, 62.5048, -96.8332, 49.2517
-78.7299, 60.2119, -102.7309, 49.8774
-91.9562, 60.6659, -78.6514, 51.2522
-97.2248, 60.9234, -52.0904, 52.7437
-99.1740, 61.2626, -56.3842, 52.8908
-101.8966, 61.0271, -38.3574, 52.1588
-102.1371, 61.3365, -52.0541, 52.3900
-102.9748, 61.1764, -57.5769, 51.8438
-103.2838, 61.1562, -63.8733, 52.0375
-103.3082, 61.1965, -59.7388, 51.4269
-104.1463, 61.0654, -50.1529, 51.6854
-105.3292, 60.8244, -62.4965, 51.5466
-106.5536, 60.5253, -61.9756, 52.9005
-105.1863, 60.7622, -59.6183, 52.2529
-105.3923, 60.8210, -79.2025, 51.8025
-107.1690, 60.4302, -48.7247, 51.7537
-105.8411, 60.9882, -53.9595, 51.9450
-105.4658, 61.0410, -41.3263, 52.0646
-106.8238, 60.6204, -54.5097, 51.4154
-106.9565, 60.8015, -54.8466, 51.9954
-108.0861, 60.5749, -30.7743, 51.7029
-107.9091, 60.6018, -63.0920, 51.2398
-107.3319, 60.8038, -58.0169, 51.6334
-107.8674, 60.6313, -61.9273, 51.2698
-108.9582, 60.5895, -46.8084, 51.9049
-105.0163, 61.1811, -24.8955, 53.6321
-107.1691, 60.9827, -31.8864, 51.7581
-107.8427, 60.9083, -45.5327, 52.3622
-109.0224, 60.6411, -30.1661, 53.1570
-108.1638, 60.7718, -19.2753, 52.0585
-108.2549, 60.7415, -44.0309, 51.7143
-109.3748, 60.4251, -43.5744, 51.5849
-108.3671, 60.7207, -33.8057, 51.6750
-109.3143, 60.6570, -49.7095, 52.0057
-108.4736, 60.9151, -35.1052, 51.7891
-109.1271, 60.6478, -14.4055, 52.0070
-107.7984, 60.7510, -41.2905, 51.8909
-109.9751, 60.6382, -9.9963, 52.3550
-109.3812, 60.6910, -28.6285, 52.4685
-108.9706, 60.8959, -47.0935, 52.0328
-109.5787, 60.7578, -30.4670, 52.4546
-110.3299, 60.4879, -25.7267, 51.5978
-109.7784, 60.6133, -45.7085, 51.2083
-110.5896, 60.5404, -34.0395, 52.0177
-110.2068, 60.6184, -59.2829, 51.4877
-109.8031, 60.8007, -48.1829, 51.8140
-110.8959, 60.6430, -43.4377, 52.4872
-110.4952, 60.7161, -6.6293, 53.6627
-110.1563, 60.7492, -26.2620, 51.8228
